_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
120,1993,17,Morelos,19,4,0,23,672537.0,694616.0,1367153.0,2.82512337611165,0.575857740103885,1.68232816663534
121,1993,18,Nayarit,12,3,0,15,446741.0,442612.0,889353.0,2.68612014567725,0.677794546916939,1.68661937385942
122,1993,19,Nuevo León,91,15,0,106,1722879.0,1712084.0,3434963.0,5.28185670612968,0.876125236845856,3.08591388029507
123,1993,20,Oaxaca,75,8,0,83,1599672.0,1645441.0,3245113.0,4.68846113453258,0.486191847656646,2.55769213583626
124,1993,21,Puebla,45,15,0,60,2245217.0,2332249.0,4577466.0,2.00426061267129,0.643156026650671,1.31076888391962
125,1993,22,Querétaro,17,1,0,18,593431.0,605989.0,1199420.0,2.86469699088858,0.165019497053577,1.50072535058612
126,1993,23,Quintana Roo,17,3,0,20,323631.0,301720.0,625351.0,5.25289604518727,0.994299350391091,3.19820388869611
127,1993,24,San Luis Potosí,51,9,0,60,1082662.0,1097296.0,2179958.0,4.71061143736457,0.820198014027209,2.75234660484285
128,1993,25,Sinaloa,66,7,0,73,1200016.0,1183690.0,2383706.0,5.49992666764443,0.591371051542211,3.06245820583579
129,1993,26,Sonora,64,8,0,72,1019848.0,998896.0,2018744.0,6.27544496826978,0.800884176130448,3.56657406783624
130,1993,27,Tabasco,130,15,0,145,844635.0,837645.0,1682280.0,15.3912636819455,1.79073473846319,8.61925482083839
131,1993,28,Tamaulipas,104,14,0,118,1229892.0,1238291.0,2468183.0,8.45602703326796,1.1305904670227,4.78084485631738
132,1993,29,Tlaxcala,5,0,0,5,424780.0,432400.0,857180.0,1.17707990018362,0.0,0.583308056650879
133,1993,30,Veracruz,174,27,0,201,3320487.0,3365860.0,6686347.0,5.24019518823594,0.802172401704171,3.00612576643121
134,1993,31,Yucatán,75,11,0,86,757340.0,760656.0,1517996.0,9.90308183906832,1.44612019099304,5.66536407210559
135,1993,32,Zacatecas,26,6,0,32,668377.0,688046.0,1356423.0,3.89002015329672,0.87203471860893,2.35914607758789
136,1993,33,Extranjero,23,3,0,26,,,,,,
137,1994,0,Nacional,2218,398,0,2616,45000843.0,45952662.0,90953505.0,4.92879655610007,0.866108692462691,2.8761948206394
138,1994,1,Aguascalientes,13,1,0,14,416608.0,431143.0,847751.0,3.12043935786159,0.231941606381178,1.65142830854815
139,1994,2,Baja California,63,8,0,71,1030646.0,1007046.0,2037692.0,6.1126710820204,0.794402639005567,3.48433423697006
140,1994,3,Baja California Sur,11,1,0,12,188280.0,180065.0,368345.0,5.84236243892076,0.555355010690584,3.25781536331428
141,1994,4,Campeche,33,13,0,46,317380.0,310970.0,628350.0,10.3976306005419,4.1804675692189,7.32076072252725
142,1994,5,Coahuila,52,8,0,60,1084260.0,1086425.0,2170685.0,4.79589766292218,0.736360080079159,2.76410441865126
143,1994,6,Colima,21,5,0,26,242204.0,242590.0,484794.0,8.6703770375386,2.0610907292139,5.36310267866351
144,1994,7,Chiapas,49,14,0,63,1791716.0,1776942.0,3568658.0,2.73480841829844,0.787870397570658,1.76536950304568
145,1994,8,Chihuahua,111,16,0,127,1385225.0,1383264.0,2768489.0,8.01313865978451,1.15668447960765,4.5873398810687
146,1994,9,Ciudad de México,242,62,0,304,4142184.0,4446376.0,8588560.0,5.84232858801058,1.39439399636918,3.5395922017195
147,1994,10,Durango,35,1,0,36,723324.0,731058.0,1454382.0,4.83877211318856,0.136788052384353,2.47527815938316
148,1994,11,Guanajuato,101,18,0,119,2152311.0,2260294.0,4412605.0,4.69263038659376,0.796356580161696,2.69681967907846
149,1994,12,Guerrero,44,9,0,53,1440626.0,1478062.0,2918688.0,3.05422781485271,0.608905445103115,1.81588439737307
150,1994,13,Hidalgo,26,4,0,30,1044344.0,1062584.0,2106928.0,2.4896011275978,0.376440827266362,1.42387400044045
151,1994,14,Jalisco,200,38,0,238,2946622.0,3070154.0,6016776.0,6.78743320317299,1.23772292855668,3.9556067900816
152,1994,15,Estado de México,99,36,0,135,5705927.0,5804911.0,11510838.0,1.73503797016681,0.620164546881081,1.17280774866261
153,1994,16,Michoacán,111,16,0,127,1921463.0,2007282.0,3928745.0,5.77684816205152,0.797097767030243,3.23258445126879
154,1994,17,Morelos,18,4,0,22,693971.0,717257.0,1411228.0,2.59376832749495,0.557680162061855,1.55892598502864
155,1994,18,Nayarit,26,3,0,29,452176.0,448105.0,900281.0,5.74997346166095,0.669485946374176,3.22121648685244
156,1994,19,Nuevo León,85,8,0,93,1761358.0,1751048.0,3512406.0,4.82582189424296,0.456869257724517,2.64775769088198
157,1994,20,Oaxaca,53,13,0,66,1611236.0,1659090.0,3270326.0,3.28940018718549,0.783562073184698,2.01814742628105
158,1994,21,Puebla,54,8,0,62,2283910.0,2375263.0,4659173.0,2.36436637170466,0.336804808562252,1.33070826088664
159,1994,22,Querétaro,17,1,0,18,609217.0,622572.0,1231789.0,2.79046710777933,0.16062399208445,1.46128923054192
160,1994,23,Quintana Roo,28,4,0,32,342671.0,320540.0,663211.0,8.1711028946132,1.24789417857366,4.82501044162416
